time,latitude,longitude,depth,magnitude,magnitude_type,source_agency,event_id
,-42.85992,-72.444898,-0.5141,3.0,,CSN,CSN_788
,-42.945723,-72.452224,16.6394,3.2,,CSN,CSN_789
,-42.907898,-72.56009,16.3696,3.2,,CSN,CSN_790
,-42.905869,-72.620982,16.2216,3.2,,CSN,CSN_791
,-42.910909,-72.532115,14.9307,3.3,,CSN,CSN_794
,-42.917421,-72.553789,16.578,3.0,,CSN,CSN_796
,-42.825324,-72.606487,1.2309,3.4,,CSN,CSN_797
,-42.915295,-72.442499,3.8835,3.2,,CSN,CSN_799
,-42.897806,-72.584964,19.8637,3.3,,CSN,CSN_800
,-42.85106,-72.525041,1.4962,3.3,,CSN,CSN_801
,-42.815896,-72.687004,7.0832,3.0,,CSN,CSN_802
,-42.906183,-72.534241,15.9264,3.5,,CSN,CSN_804
,-42.889913,-72.523287,9.1193,3.2,,CSN,CSN_805
,-42.892537,-72.612803,17.5084,3.0,,CSN,CSN_806
,-42.828552,-72.617775,12.1772,3.2,,CSN,CSN_807
,-42.804609,-72.670579,0.1972,3.2,,CSN,CSN_809
,-42.895078,-72.542294,13.9257,3.3,,CSN,CSN_810
,-42.827009,-72.606659,-0.3993,3.3,,CSN,CSN_811
,-42.953056,-72.452296,14.1276,3.1,,CSN,CSN_812
,-42.866193,-72.50019,0.308,3.1,,CSN,CSN_813
,-42.844816,-72.570994,0.8622,3.3,,CSN,CSN_814
,-42.909139,-72.531574,15.9751,3.2,,CSN,CSN_815
,-42.840508,-72.601694,5.5116,3.1,,CSN,CSN_816
,-42.967861,-72.433803,16.3987,3.3,,CSN,CSN_817
,-42.847725,-72.62073,4.947,3.3,,CSN,CSN_818
,-42.846801,-72.627348,1.8906,3.2,,CSN,CSN_819
,-42.860651,-72.581773,2.4004,3.3,,CSN,CSN_820
,-42.867351,-72.532174,5.1151,3.4,,CSN,CSN_821
,-42.823935,-72.737089,2.7731,3.3,,CSN,CSN_822
,-42.919377,-72.511001,13.2778,3.0,,CSN,CSN_823
,-42.869632,-72.572385,11.3592,3.1,,CSN,CSN_824
,-42.855092,-72.588315,9.9934,3.2,,CSN,CSN_825
,-42.855949,-72.540997,-1.2677,3.4,,CSN,CSN_826
,-42.916155,-72.477034,12.0056,3.3,,CSN,CSN_827
,-42.884207,-72.566122,6.2547,3.4,,CSN,CSN_829
,-42.902068,-72.493184,7.4456,3.4,,CSN,CSN_831
,-42.802703,-72.674536,-0.1554,3.2,,CSN,CSN_833
,-42.928093,-72.463329,9.9013,3.1,,CSN,CSN_834
,-42.894436,-72.494559,1.2141,3.5,,CSN,CSN_835
,-42.835382,-72.630504,1.3259,3.3,,CSN,CSN_836
,-42.856993,-72.681537,18.8837,3.3,,CSN,CSN_837
,-42.817528,-72.637411,0.0439,3.1,,CSN,CSN_840
,-42.864838,-72.712814,2.7166,3.1,,CSN,CSN_841
,-42.88763,-72.689459,17.5245,3.2,,CSN,CSN_843
,-42.909265,-72.732532,21.2861,3.3,,CSN,CSN_846
,-42.907206,-72.705234,21.5957,3.4,,CSN,CSN_852
,-42.836618,-72.546251,-1.2111,3.0,,CSN,CSN_853
,-42.946718,-72.777555,26.2491,3.1,,CSN,CSN_854
,-42.852044,-72.70996,16.5134,3.0,,CSN,CSN_855
,-42.840944,-72.598318,1.7499,3.5,,CSN,CSN_856
,-42.832839,-72.606505,1.9351,3.3,,CSN,CSN_861
,-42.823236,-72.628836,-0.5855,3.4,,CSN,CSN_864
,-42.872587,-72.801205,17.9853,3.1,,CSN,CSN_865
,-42.888116,-72.788063,24.3349,3.1,,CSN,CSN_867
,-42.882291,-72.734104,19.9802,3.2,,CSN,CSN_868
,-42.82902,-72.601136,-0.4454,3.3,,CSN,CSN_874
,-42.841854,-72.620402,6.5572,3.2,,CSN,CSN_880
,-42.834366,-72.594488,-0.5829,3.4,,CSN,CSN_882
,-42.813475,-72.620814,4.184,3.2,,CSN,CSN_883
,-42.851975,-72.552752,2.8826,3.2,,CSN,CSN_884
,-42.826396,-72.584842,-0.2291,3.4,,CSN,CSN_885
,-42.825225,-72.567595,2.7189,3.2,,CSN,CSN_886
,-42.828911,-72.598736,8.1314,3.0,,CSN,CSN_887
,-42.87585,-72.732784,23.6008,3.2,,CSN,CSN_888
,-42.853781,-72.692738,17.2498,3.3,,CSN,CSN_890
,-42.839609,-72.645017,7.7688,3.2,,CSN,CSN_891
,-42.908978,-72.749645,29.8628,3.2,,CSN,CSN_892
,-42.851934,-72.662325,9.8393,3.2,,CSN,CSN_893
,-42.862697,-72.681095,17.2217,3.1,,CSN,CSN_894
,-42.824513,-72.585671,2.929,3.2,,CSN,CSN_895
,-42.851185,-72.699568,17.9713,3.3,,CSN,CSN_896
,-42.827887,-72.582149,-0.7404,3.2,,CSN,CSN_897
,-42.840329,-72.611218,1.9034,3.3,,CSN,CSN_899
,-42.854716,-72.733,19.1341,3.3,,CSN,CSN_900
,-42.880382,-72.69966,14.8143,3.0,,CSN,CSN_902
,-42.860818,-72.680683,14.0197,3.0,,CSN,CSN_903
,-42.823777,-72.562719,-0.8797,3.0,,CSN,CSN_904
,-42.859792,-72.719753,17.9623,3.0,,CSN,CSN_905
,-42.83428,-72.614389,4.3633,3.0,,CSN,CSN_907
,-42.871791,-72.703342,19.926,3.1,,CSN,CSN_908
,-42.851932,-72.673085,15.6175,3.4,,CSN,CSN_909
,-42.828286,-72.586828,0.1927,3.3,,CSN,CSN_910
,-42.865041,-72.710254,20.3375,3.4,,CSN,CSN_911
,-42.849885,-72.676418,16.4097,3.2,,CSN,CSN_912
,-42.874432,-72.744023,20.539,3.2,,CSN,CSN_913
,-42.867164,-72.697829,21.9191,3.0,,CSN,CSN_914
,-42.84462,-72.683126,12.7153,3.2,,CSN,CSN_915
,-42.868287,-72.710477,20.2571,3.3,,CSN,CSN_917
,-42.872676,-72.51176,-1.2011,3.6,,CSN,CSN_918
,-42.987788,-72.792599,21.1786,3.7,,CSN,CSN_919
,-42.84444,-72.599419,4.956,3.2,,CSN,CSN_920
,-42.835612,-72.58532,1.7004,3.3,,CSN,CSN_921
,-42.850344,-72.595377,-0.1673,3.3,,CSN,CSN_922
,-42.821774,-72.5589,-0.9193,3.4,,CSN,CSN_923
,-42.839097,-72.55423,0.1341,3.2,,CSN,CSN_924
,-42.825122,-72.593719,4.1119,3.1,,CSN,CSN_925
,-42.843071,-72.596521,4.3475,3.2,,CSN,CSN_926
,-42.825868,-72.571043,-0.8973,3.4,,CSN,CSN_927
,-42.824543,-72.594908,1.5065,3.3,,CSN,CSN_928
,-42.840518,-72.576985,-0.8306,3.4,,CSN,CSN_929
,-42.834095,-72.580287,2.2605,3.2,,CSN,CSN_930
,-42.847454,-72.589745,0.8117,3.0,,CSN,CSN_931
,-42.829717,-72.588918,0.2362,3.2,,CSN,CSN_932
,-42.866706,-72.569081,2.1969,3.4,,CSN,CSN_933
,-42.849728,-72.604023,7.8639,3.1,,CSN,CSN_1028
,-42.838548,-72.603295,4.4187,3.0,,CSN,CSN_1032
,-42.837209,-72.611366,4.1106,3.1,,CSN,CSN_1035
,-42.838011,-72.635355,9.1212,3.0,,CSN,CSN_1039
,-42.843336,-72.620898,7.9374,3.1,,CSN,CSN_1040
,-42.850803,-72.622065,8.9252,3.1,,CSN,CSN_1041
,-42.842755,-72.603287,5.709,3.1,,CSN,CSN_1042
,-42.839124,-72.582703,3.3391,3.1,,CSN,CSN_1043
,-42.836558,-72.60796,5.2648,3.0,,CSN,CSN_1045
,-42.849272,-72.623685,7.3767,3.1,,CSN,CSN_1046
,-42.847679,-72.641774,10.6518,3.0,,CSN,CSN_1047
,-42.836221,-72.591814,1.8718,3.2,,CSN,CSN_1049
,-42.839278,-72.650819,10.1177,3.2,,CSN,CSN_1050
,-42.82804,-72.585647,3.4144,3.0,,CSN,CSN_1052
,-42.838304,-72.622084,8.0835,3.2,,CSN,CSN_1053
,-42.843466,-72.621615,8.6701,3.1,,CSN,CSN_1058
,-42.83849,-72.612256,6.3693,3.0,,CSN,CSN_1060
,-42.841539,-72.664236,11.6693,3.1,,CSN,CSN_1062
,-42.838213,-72.606859,4.2014,3.1,,CSN,CSN_1063
,-42.851334,-72.618226,10.2057,3.3,,CSN,CSN_1070
,-42.83926,-72.621607,7.6091,3.1,,CSN,CSN_1071
,-42.840223,-72.628935,10.3507,3.0,,CSN,CSN_1072
,-42.839219,-72.617027,5.4804,3.1,,CSN,CSN_1073
,-42.851386,-72.642721,9.8397,3.2,,CSN,CSN_1075
,-42.837523,-72.585282,1.1583,3.1,,CSN,CSN_1076
,-42.841196,-72.60416,4.6584,3.0,,CSN,CSN_1081
,-42.812482,-72.53059,4.218,3.0,,CSN,CSN_1083
,-42.800116,-72.500069,-1.2204,3.0,,CSN,CSN_1084
,-42.811217,-72.514064,-0.6057,3.1,,CSN,CSN_1085
,-42.855325,-72.618332,2.349,3.0,,CSN,CSN_1086
,-42.85186,-72.599027,-0.5965,3.2,,CSN,CSN_1089
,-42.780765,-72.422441,-1.602,3.1,,CSN,CSN_1090
,-42.817065,-72.450557,-1.918,3.0,,CSN,CSN_1091
,-42.784683,-72.388873,-1.7413,3.4,,CSN,CSN_1092
,-42.809311,-72.46587,-1.8348,3.3,,CSN,CSN_1093
,-42.845141,-72.626006,6.8048,3.5,,CSN,CSN_1094
,-42.840552,-72.583147,3.9779,3.5,,CSN,CSN_1095
,-42.829793,-72.586491,2.5533,3.5,,CSN,CSN_1096
,-42.836521,-72.574512,3.0822,3.5,,CSN,CSN_1097
,-42.846778,-72.567118,0.0782,3.5,,CSN,CSN_1100
,-42.849432,-72.618493,5.9034,3.5,,CSN,CSN_1101
,-42.844617,-72.59397,2.4427,3.3,,CSN,CSN_1102
,-42.836133,-72.587007,-0.7196,3.6,,CSN,CSN_1103
,-42.836089,-72.582604,2.653,3.2,,CSN,CSN_1104
,-42.836856,-72.570569,-0.8031,3.0,,CSN,CSN_1105
,-42.849427,-72.624036,6.8336,3.2,,CSN,CSN_1109
,-42.835299,-72.59588,3.7015,3.2,,CSN,CSN_1110
,-42.822652,-72.587782,-0.035,3.4,,CSN,CSN_1111
,-42.845249,-72.59589,4.1249,3.3,,CSN,CSN_1112
,-42.850193,-72.580778,0.7463,3.3,,CSN,CSN_1114
,-42.846151,-72.570029,-0.8464,3.2,,CSN,CSN_1115
,-42.866887,-72.587812,3.0479,3.0,,CSN,CSN_1116
,-42.838145,-72.581403,-0.0539,3.3,,CSN,CSN_1117
,-42.841182,-72.582427,4.1649,3.1,,CSN,CSN_1118
,-42.831294,-72.608918,1.9303,3.2,,CSN,CSN_1119
,-42.836663,-72.604037,5.3945,3.0,,CSN,CSN_1120
,-42.839023,-72.603694,4.4919,3.2,,CSN,CSN_1121
,-42.838835,-72.584962,2.5784,3.3,,CSN,CSN_1122
,-42.839831,-72.59744,0.6576,3.3,,CSN,CSN_1123
,-42.839982,-72.60454,5.87,3.1,,CSN,CSN_1124
,-42.840351,-72.606474,6.2508,3.2,,CSN,CSN_1125
,-42.843162,-72.568092,3.9443,3.1,,CSN,CSN_1126
,-42.840525,-72.639635,2.5278,3.2,,CSN,CSN_1127
,-42.853439,-72.607798,8.7421,3.4,,CSN,CSN_1128
,-42.836751,-72.580228,-0.8037,3.3,,CSN,CSN_1129
,-42.843014,-72.564071,-0.4439,3.0,,CSN,CSN_1130
,-42.835821,-72.619386,6.7317,3.3,,CSN,CSN_1131
,-42.839822,-72.603433,5.2241,3.3,,CSN,CSN_1132
,-42.83505,-72.576367,1.235,3.0,,CSN,CSN_1133
,-42.827918,-72.586254,1.4237,3.0,,CSN,CSN_1134
,-42.837507,-72.623224,5.5348,3.2,,CSN,CSN_1135
,-42.824275,-72.582746,1.7587,3.2,,CSN,CSN_1137
,-42.844739,-72.622065,5.143,3.0,,CSN,CSN_1138
,-42.839286,-72.572606,1.2693,3.1,,CSN,CSN_1139
,-42.790408,-72.422285,-1.7528,3.3,,CSN,CSN_1144
,-42.85017,-72.583669,-0.1608,3.0,,CSN,CSN_1145
,-42.853061,-72.617915,7.3537,3.0,,CSN,CSN_1146
