time,latitude,longitude,depth,magnitude,magnitude_type,source_agency,event_id
1428469603720,39.3606667,-120.0208333,-0.681,3.41,mw,USGS,nc72428161
1428366416090,39.8297,-115.4867,6.7,3,ml,USGS,nn00490088
1428159285540,34.3253333,-118.5538333,5.932,3.13,ml,USGS,ci37356432
1428000615200,32.4093333,-115.211,8.361,3.49,ml,USGS,ci37354952
1427968101403,41.8729,-119.6432,9.6,3,ml,USGS,nn00489054
1427958363870,37.792,-121.9868333,9.89,3.61,mw,USGS,nc72424876
1427707316690,34.7911667,-116.2611667,2.912,4.04,ml,USGS,ci37352384
1427470617470,33.9298333,-116.032,1.214,3.67,ml,USGS,ci37350736
1427463014330,36.2271667,-120.3528333,10.44,4.11,mw,USGS,nc72418390
1427441552210,36.2273333,-120.3546667,10.373,3.35,ml,USGS,nc72418215
1427393376390,33.2435,-117.8676667,13.568,3.05,ml,USGS,ci37349552
1427172379410,35.2673333,-118.58,9.957,3.56,ml,USGS,ci37347128
1426570607730,40.1705,-121.0621667,5.102,3.79,mw,USGS,nc72412550
1426333939750,34.5771667,-116.268,1.059,3.2,ml,USGS,ci37338184
1426007243640,37.7466667,-122.1441667,4.677,3.04,mw,USGS,nc72408845
1425971194830,40.3293333,-124.6571667,13.631,3.79,mw,USGS,nc72408590
1425948009320,38.8161667,-122.81,3.119,3.43,mw,USGS,nc72408335
1425820954799,41.8556,-119.6505,6.9,3,ml,USGS,nn00486252
1425414927633,41.8501,-119.6421,7.4,3.4,ml,USGS,nn00485580
1425369717659,41.8704,-119.6612,9.1,3.2,ml,USGS,nn00485468
1425369511821,41.8597,-119.6664,6.7,3.1,ml,USGS,nn00485470
1425369476224,41.8453,-119.6403,3.3,3.4,ml,USGS,nn00485469
1425120096738,38.9075,-115.3789,0,3.9,ml,USGS,nn00485024
1424997825790,32.2198333,-117.6913333,20.667,3.36,ml,USGS,ci37104391
1424995984044,41.8563,-119.6455,8.9,3.3,ml,USGS,nn00484766
1424978268408,41.9131,-119.5679,7.5,3.5,ml,USGS,nn00484723
1424913517470,33.9376667,-116.0285,3.176,3.67,ml,USGS,ci37103367
1424820482050,40.8431667,-124.83,21.27,3.04,ml,USGS,nc72401005
1424662453533,41.8959,-119.5571,0.9,3.1,ml,USGS,nn00484193
1424610087743,41.9462,-119.5759,9.8,3.2,ml,USGS,nn00484076
1424528509556,41.8779,-119.6499,7.3,3.3,ml,USGS,nn00483906
1424490574889,41.8609,-119.6461,6.9,3.1,ml,USGS,nn00483856
1424475819504,41.9102,-119.5738,5.7,3,ml,USGS,nn00483819
1424093816016,37.1415,-117.2612,15.1,3.4,ml,USGS,nn00483105
1424068046857,41.855,-119.6445,8,3.6,ml,USGS,nn00483074
1423884843372,37.1749,-117.2404,7.5,3.2,ml,USGS,nn00482654
